"","x"
"flamingoFloaty:jellyhat",0.0427193098617955
"flamingoFloaty:laserBlaster",-0.0102006670094343
"flamingoFloaty:rhinocerosBeetleHorn",0.0157204564738626
"flamingoFloaty:rollerBlades",-0.0250121445735359
"flamingoFloaty:shield",0.000938994107593236
"flamingoFloaty:shiv",-0.00287006485348623
"flamingoFloaty:snowmanHead",0.0167065591830045
"flamingoFloaty:sportsJersey",0.0109731114833895
"flamingoFloaty:vikingHelmet",0.00113734184771562
"flamingoFloaty:wandOfFlames",0.0162310294666693
"flamingoFloaty:zapHelmet",0.054186585847449
"frillySkirt:jellyhat",-0.0438883641288183
"frillySkirt:laserBlaster",0.00999744299715871
"frillySkirt:rhinocerosBeetleHorn",0.0437770548408562
"frillySkirt:rollerBlades",-0.0425331606684612
"frillySkirt:shield",-0.0488200095070934
"frillySkirt:shiv",0.0105852903481479
"frillySkirt:snowmanHead",0.00710683859565203
"frillySkirt:sportsJersey",-0.00726925749556165
"frillySkirt:vikingHelmet",-0.0246420338076767
"frillySkirt:wandOfFlames",0.0240293088398781
"frillySkirt:zapHelmet",0.0343155597160432
"fullSuitOfArmor:laserBlaster",0.04585272334027
"fullSuitOfArmor:shield",-0.0411848989180384
"fullSuitOfArmor:shiv",-0.00332786621974941
"fullSuitOfArmor:sportsJersey",-0.00577238561047445
"fullSuitOfArmor:wandOfFlames",0.0483997747462816
"jellyhat:laserBlaster",-0.0339335425342685
"jellyhat:rollerBlades",0.0130886227183817
"jellyhat:shield",0.0264552067392012
"jellyhat:shiv",0.0111449714992443
"jellyhat:sportsJersey",-0.0212844114123782
"jellyhat:wandOfFlames",-0.0428711704377333
"laserBlaster:rhinocerosBeetleHorn",-0.0176001701848516
"laserBlaster:rollerBlades",-0.0176274642783823
"laserBlaster:shield",0.045363599643046
"laserBlaster:shiv",0.0120695454001247
"laserBlaster:snowmanHead",-0.0708128996025882
"laserBlaster:sportsJersey",-0.0105657100039381
"laserBlaster:vikingHelmet",-0.0248974920291437
"laserBlaster:wandOfFlames",-0.00312175300087683
"laserBlaster:zapHelmet",-0.0102061746263963
"rhinocerosBeetleHorn:rollerBlades",0.0054827287925188
"rhinocerosBeetleHorn:shield",0.00392850218990578
"rhinocerosBeetleHorn:shiv",-0.0012133998812378
"rhinocerosBeetleHorn:sportsJersey",-0.00168034555074364
"rhinocerosBeetleHorn:wandOfFlames",-0.0207505521936031
"rollerBlades:shield",0.00637758347299931
"rollerBlades:shiv",-0.0195341896469673
"rollerBlades:snowmanHead",-0.0240119044049506
"rollerBlades:sportsJersey",0.00209297288300889
"rollerBlades:vikingHelmet",0.00487959841124128
"rollerBlades:wandOfFlames",-0.00397777361680347
"rollerBlades:zapHelmet",0.0141029095885174
"shield:shiv",0.0515327932740696
"shield:snowmanHead",-0.00985652388328035
"shield:sportsJersey",-0.0188655819420901
"shield:vikingHelmet",0.00393732450467179
"shield:wandOfFlames",0.049878187957044
"shield:zapHelmet",0.0118203572295941
"shiv:snowmanHead",-0.0588718549778936
"shiv:sportsJersey",-0.0029598047570935
"shiv:vikingHelmet",0.00547207147220359
"shiv:wandOfFlames",0.00528861016489815
"shiv:zapHelmet",0.00256305898323804
"snowmanHead:sportsJersey",0.00811899427332844
"snowmanHead:wandOfFlames",-0.0543521897580052
"sportsJersey:vikingHelmet",-0.0202014515950717
"sportsJersey:wandOfFlames",0.00467304593037133
"sportsJersey:zapHelmet",-0.0216902274000808
"vikingHelmet:wandOfFlames",-0.0247537395297223
"wandOfFlames:zapHelmet",-0.0254999014771157
